FunctionalAssessment,ADL,MMSE,Reward,Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
4.3106,1.4228,2.2063,1102.75,1.0,1.0,1.0,0.0,0.1974
,,,,,,,,
10.0,10.0,13.6485,,,,,,
2.656,2.6682,3.3578,1212.12,2.0,2.0,2.0,0.0,0.3875
,,,,,,,,
1.6456,3.1381,2.3686,1107.39,1.0,1.0,1.0,0.0,0.1762
,,,,,,,,
1.5077,3.8852,4.5397,1099.01,1.0,1.0,1.0,0.0,0.2181
,,,,,,,,
2.7772,1.8746,6.389,1102.22,1.0,1.0,1.0,0.0,0.2152
,,,,,,,,
0.3355,5.0098,6.8853,1100.43,1.0,1.0,1.0,0.0,0.2399
,,,,,,,,
1.635,2.9382,4.3213,1104.24,1.0,1.0,1.0,0.0,0.1916
,,,,,,,,
1.6915,3.763,6.0677,1098.79,1.0,1.0,1.0,0.0,0.2369
,,,,,,,,
2.6609,2.7779,2.4116,1105.88,1.0,1.0,1.0,0.0,0.1952
,,,,,,,,
2.3825,4.1348,0.0,1104.45,1.0,1.0,1.0,0.0,0.2004
,,,,,,,,
3.5277,1.9834,0.7359,1107.4,1.0,1.0,1.0,0.0,0.1768
,,,,,,,,
2.8548,1.9481,2.7052,1106.27,1.0,1.0,1.0,0.0,0.1787
,,,,,,,,
2.9123,1.9244,1.1328,1109.15,1.0,1.0,1.0,0.0,0.1621
,,,,,,,,
2.6342,2.0289,7.1462,1103.74,1.0,1.0,1.0,0.0,0.2242
,,,,,,,,
2.0757,2.9808,2.3813,1107.49,1.0,1.0,1.0,0.0,0.1842
,,,,,,,,
2.6358,2.5746,0.775,1108.95,1.0,1.0,1.0,0.0,0.1701
,,,,,,,,
2.6721,2.2122,0.346,1109.74,1.0,1.0,1.0,0.0,0.1554
,,,,,,,,
2.8699,2.564,0.8809,1108.77,1.0,1.0,1.0,0.0,0.1776
,,,,,,,,
1.469,3.083,4.5445,1106.64,1.0,1.0,1.0,0.0,0.1935
,,,,,,,,
2.9176,2.0676,1.323,1109.48,1.0,1.0,1.0,0.0,0.1687
,,,,,,,,
2.8651,1.6611,4.4023,1107.67,1.0,1.0,1.0,0.0,0.189
,,,,,,,,
2.9272,1.9372,0.3284,1111.0,1.0,1.0,1.0,0.0,0.154
,,,,,,,,
4.354,1.6768,0.8137,1107.66,1.0,1.0,1.0,0.0,0.191
,,,,,,,,
4.3913,1.6864,0.0,1108.51,1.0,1.0,1.0,0.0,0.1832
,,,,,,,,
3.5262,1.7435,0.0,1110.49,1.0,1.0,1.0,0.0,0.1612
,,,,,,,,
2.8709,1.975,0.8841,1110.46,1.0,1.0,1.0,0.0,0.1597
,,,,,,,,
3.4654,1.7636,0.0,1110.46,1.0,1.0,1.0,0.0,0.1601
,,,,,,,,
3.537,1.7084,0.89,1109.67,1.0,1.0,1.0,0.0,0.1703
,,,,,,,,
4.5384,1.4504,0.0,1108.82,1.0,1.0,1.0,0.0,0.1798
,,,,,,,,
1.1542,4.0853,4.2506,1105.92,1.0,1.0,1.0,0.0,0.2102
,,,,,,,,
3.5159,1.727,0.8974,1109.67,1.0,1.0,1.0,0.0,0.1703
,,,,,,,,
3.4789,1.7395,1.7934,1108.83,1.0,1.0,1.0,0.0,0.1797
,,,,,,,,
2.4957,3.1462,1.7317,1107.54,1.0,1.0,1.0,0.0,0.194
,,,,,,,,
3.6027,2.0523,0.0,1109.45,1.0,1.0,1.0,0.0,0.1728
,,,,,,,,
1.694,3.7377,3.1994,1106.44,1.0,1.0,1.0,0.0,0.2044
,,,,,,,,
4.2407,1.6745,1.7097,1107.2,1.0,1.0,1.0,0.0,0.1978
,,,,,,,,
3.0047,2.3532,0.0,1109.98,1.0,1.0,1.0,0.0,0.1652
,,,,,,,,
2.7775,2.3046,1.7739,1109.07,1.0,1.0,1.0,0.0,0.177
,,,,,,,,
3.4495,2.0257,0.0,1109.59,1.0,1.0,1.0,0.0,0.1677
,,,,,,,,
3.5304,1.752,0.0,1110.34,1.0,1.0,1.0,0.0,0.1616
,,,,,,,,
2.5934,1.7579,3.4806,1108.86,1.0,1.0,1.0,0.0,0.1741
,,,,,,,,
4.324,1.454,1.7372,1107.58,1.0,1.0,1.0,0.0,0.1935
,,,,,,,,
1.1453,3.1183,8.8582,1103.29,1.0,1.0,1.0,0.0,0.2322
,,,,,,,,
10.0,1.35,0.0,1102.14,1.0,1.0,1.0,0.0,0.2493
,,,,,,,,
4.3354,1.422,0.0,1109.1,1.0,1.0,1.0,0.0,0.1735
,,,,,,,,
4.3527,1.4399,0.0,1108.98,1.0,1.0,1.0,0.0,0.1746
,,,,,,,,
5.7527,1.4828,0.0,1105.91,1.0,1.0,1.0,0.0,0.2121
,,,,,,,,
4.2699,1.4425,1.5099,1107.98,1.0,1.0,1.0,0.0,0.1891
,,,,,,,,
10.0,1.4794,0.8536,1101.35,1.0,1.0,1.0,0.0,0.2628
,,,,,,,,
10.0,1.4699,0.0,1102.23,1.0,1.0,1.0,0.0,0.253
,,,,,,,,
10.0,1.4705,0.0,1102.23,1.0,1.0,1.0,0.0,0.253
,,,,,,,,
10.0,1.4486,0.0,1102.28,1.0,1.0,1.0,0.0,0.2524
,,,,,,,,
10.0,1.4806,0.0,1102.19,1.0,1.0,1.0,0.0,0.2534
,,,,,,,,
10.0,1.4753,0.0,1102.21,1.0,1.0,1.0,0.0,0.2532
,,,,,,,,
10.0,1.4849,0.0,1102.18,1.0,1.0,1.0,0.0,0.2535
,,,,,,,,
10.0,1.4711,0.8954,1101.33,1.0,1.0,1.0,0.0,0.263
,,,,,,,,
10.0,1.4771,0.0,1102.21,1.0,1.0,1.0,0.0,0.2532
,,,,,,,,
10.0,1.4803,0.0,1102.2,1.0,1.0,1.0,0.0,0.2533
,,,,,,,,
8.8984,1.4615,0.0,1102.45,1.0,1.0,1.0,0.0,0.2506
,,,,,,,,
10.0,1.4597,0.8893,1101.37,1.0,1.0,1.0,0.0,0.2626
,,,,,,,,
10.0,1.4786,0.0,1102.2,1.0,1.0,1.0,0.0,0.2533
,,,,,,,,
8.8594,1.4695,0.8976,1101.55,1.0,1.0,1.0,0.0,0.2606
,,,,,,,,
7.3319,1.4852,0.0,1103.58,1.0,1.0,1.0,0.0,0.238
,,,,,,,,
10.0,1.4789,0.8253,1101.38,1.0,1.0,1.0,0.0,0.2625
,,,,,,,,
4.1259,1.4543,0.0,1109.8,1.0,1.0,1.0,0.0,0.1689
,,,,,,,,
8.5552,1.4722,0.0,1102.6,1.0,1.0,1.0,0.0,0.2489
,,,,,,,,
4.4003,1.4842,0.0,1109.05,1.0,1.0,1.0,0.0,0.1772
,,,,,,,,
9.1354,1.4834,0.0,1102.15,1.0,1.0,1.0,0.0,0.2521
,,,,,,,,
8.2579,1.4728,0.8672,1101.91,1.0,1.0,1.0,0.0,0.2566
,,,,,,,,
8.8592,1.4462,0.0,1102.34,1.0,1.0,1.0,0.0,0.2499
,,,,,,,,
7.3597,1.487,0.0,1103.38,1.0,1.0,1.0,0.0,0.2384
,,,,,,,,
5.597,1.4772,0.0,1106.26,1.0,1.0,1.0,0.0,0.2082
,,,,,,,,
9.497,1.4766,0.8961,1101.35,1.0,1.0,1.0,0.0,0.2628
,,,,,,,,
5.3097,1.4694,0.0,1106.91,1.0,1.0,1.0,0.0,0.201
,,,,,,,,
5.8324,1.4718,0.0,1105.61,1.0,1.0,1.0,0.0,0.2137
,,,,,,,,
10.0,1.4665,0.8904,1101.35,1.0,1.0,1.0,0.0,0.2628
,,,,,,,,
9.6246,1.4768,0.8897,1101.33,1.0,1.0,1.0,0.0,0.263
,,,,,,,,
10.0,1.4834,1.7655,1100.43,1.0,1.0,1.0,0.0,0.273
,,,,,,,,
4.1596,1.4772,0.0,1109.66,1.0,1.0,1.0,0.0,0.1705
,,,,,,,,
3.8342,1.7857,0.0,1109.6,1.0,1.0,1.0,0.0,0.1711
,,,,,,,,
5.5999,1.1896,0.8908,1105.67,1.0,1.0,1.0,0.0,0.2093
,,,,,,,,
4.1362,1.4504,0.0,1109.79,1.0,1.0,1.0,0.0,0.169
,,,,,,,,
4.1242,1.4528,0.0,1109.81,1.0,1.0,1.0,0.0,0.1688
,,,,,,,,
5.3421,1.1951,0.894,1106.71,1.0,1.0,1.0,0.0,0.2032
,,,,,,,,
5.0143,1.474,0.8921,1106.7,1.0,1.0,1.0,0.0,0.2033
,,,,,,,,
4.1294,1.4658,1.7001,1108.06,1.0,1.0,1.0,0.0,0.1882
,,,,,,,,
4.4046,1.4577,0.0,1109.12,1.0,1.0,1.0,0.0,0.1765
,,,,,,,,
4.3681,1.4719,0.0,1109.0,1.0,1.0,1.0,0.0,0.1759
,,,,,,,,
3.5349,1.7583,0.0,1110.26,1.0,1.0,1.0,0.0,0.1619
,,,,,,,,
4.1425,1.48,0.0,1109.69,1.0,1.0,1.0,0.0,0.1701
,,,,,,,,
3.8373,1.7756,0.0,1109.62,1.0,1.0,1.0,0.0,0.1709
,,,,,,,,
5.3106,1.1734,1.7935,1105.94,1.0,1.0,1.0,0.0,0.2118
,,,,,,,,
3.5506,1.7738,0.0,1110.19,1.0,1.0,1.0,0.0,0.1628
,,,,,,,,
3.8629,1.7737,0.0,1109.56,1.0,1.0,1.0,0.0,0.1716
,,,,,,,,
3.5497,1.7793,0.0,1110.34,1.0,1.0,1.0,0.0,0.1629
,,,,,,,,
4.1169,1.454,0.0,1109.67,1.0,1.0,1.0,0.0,0.1686
,,,,,,,,
5.2903,1.1837,1.7257,1106.03,1.0,1.0,1.0,0.0,0.2108
,,,,,,,,
4.1524,1.4453,0.8805,1108.88,1.0,1.0,1.0,0.0,0.1791
,,,,,,,,
4.1229,1.4785,0.8686,1108.87,1.0,1.0,1.0,0.0,0.1792
,,,,,,,,
3.803,1.7881,0.0,1109.57,1.0,1.0,1.0,0.0,0.1703
,,,,,,,,
3.5206,2.3605,0.0,1108.64,1.0,1.0,1.0,0.0,0.1799
,,,,,,,,
3.4935,1.769,0.8913,1109.61,1.0,1.0,1.0,0.0,0.171
,,,,,,,,
3.5509,1.7466,0.8732,1109.55,1.0,1.0,1.0,0.0,0.1717
,,,,,,,,
4.1074,1.4797,1.7844,1107.99,1.0,1.0,1.0,0.0,0.189
,,,,,,,,
3.4953,1.7376,0.0,1110.59,1.0,1.0,1.0,0.0,0.1601
,,,,,,,,
3.5541,1.7445,0.8507,1109.56,1.0,1.0,1.0,0.0,0.1715
,,,,,,,,
4.1349,1.4571,0.8907,1108.88,1.0,1.0,1.0,0.0,0.1791
,,,,,,,,
4.1282,1.4696,1.7483,1108.0,1.0,1.0,1.0,0.0,0.1889
,,,,,,,,
4.1487,1.4523,1.7671,1107.82,1.0,1.0,1.0,0.0,0.1891
,,,,,,,,
2.9413,2.3593,0.0,1110.28,1.0,1.0,1.0,0.0,0.1635
,,,,,,,,
3.5094,1.75,0.8879,1109.63,1.0,1.0,1.0,0.0,0.1708
,,,,,,,,
4.7314,1.4669,1.753,1106.38,1.0,1.0,1.0,0.0,0.205
,,,,,,,,
4.1104,1.4727,0.8978,1108.74,1.0,1.0,1.0,0.0,0.179
,,,,,,,,
3.8159,1.7703,1.7913,1107.74,1.0,1.0,1.0,0.0,0.19
,,,,,,,,
2.9481,2.3344,0.0,1110.33,1.0,1.0,1.0,0.0,0.163
,,,,,,,,
3.5607,1.7794,0.0,1110.3,1.0,1.0,1.0,0.0,0.1633
,,,,,,,,
3.2729,1.7537,2.5616,1108.54,1.0,1.0,1.0,0.0,0.1829
,,,,,,,,
3.5327,1.7295,0.8721,1109.48,1.0,1.0,1.0,0.0,0.1706
,,,,,,,,
3.5475,2.0364,0.0,1109.48,1.0,1.0,1.0,0.0,0.1707
,,,,,,,,
2.654,2.6267,0.8932,1109.06,1.0,1.0,1.0,0.0,0.1736
,,,,,,,,
3.525,1.7523,0.897,1109.57,1.0,1.0,1.0,0.0,0.1714
,,,,,,,,
3.8646,1.7615,2.676,1106.26,1.0,1.0,1.0,0.0,0.201
,,,,,,,,
2.9008,2.0451,1.6834,1109.56,1.0,1.0,1.0,0.0,0.1716
,,,,,,,,
3.517,1.7742,0.8831,1109.55,1.0,1.0,1.0,0.0,0.1717
,,,,,,,,
2.9307,1.9732,0.8933,1110.3,1.0,1.0,1.0,0.0,0.1615
,,,,,,,,
2.9217,2.3616,0.0,1110.16,1.0,1.0,1.0,0.0,0.1631
,,,,,,,,
2.9416,2.0633,0.8951,1110.2,1.0,1.0,1.0,0.0,0.1645
,,,,,,,,
3.5108,1.7612,0.0,1110.32,1.0,1.0,1.0,0.0,0.1613
,,,,,,,,
2.9388,2.2814,0.0,1110.34,1.0,1.0,1.0,0.0,0.1611
,,,,,,,,
2.8619,2.364,0.0,1110.46,1.0,1.0,1.0,0.0,0.1615
,,,,,,,,
3.5307,2.0419,0.0,1109.49,1.0,1.0,1.0,0.0,0.1705
,,,,,,,,
3.5147,2.0649,0.0,1109.48,1.0,1.0,1.0,0.0,0.1707
,,,,,,,,
3.5405,1.7641,1.7203,1108.68,1.0,1.0,1.0,0.0,0.1813
,,,,,,,,
3.5502,1.7352,1.755,1108.7,1.0,1.0,1.0,0.0,0.1811
,,,,,,,,
3.7979,1.7792,0.8771,1108.69,1.0,1.0,1.0,0.0,0.1796
,,,,,,,,
4.1388,1.4634,2.6426,1106.94,1.0,1.0,1.0,0.0,0.1989
,,,,,,,,
3.4854,2.3354,0.0,1108.97,1.0,1.0,1.0,0.0,0.1781
,,,,,,,,
4.4286,1.4832,1.7502,1107.07,1.0,1.0,1.0,0.0,0.1974
,,,,,,,,
3.2603,1.7866,0.854,1110.19,1.0,1.0,1.0,0.0,0.1646
,,,,,,,,
2.6218,2.3817,0.836,1110.19,1.0,1.0,1.0,0.0,0.1646
,,,,,,,,
4.1305,1.4543,1.7523,1107.88,1.0,1.0,1.0,0.0,0.1885
,,,,,,,,
3.1956,2.0281,1.7569,1108.78,1.0,1.0,1.0,0.0,0.1802
,,,,,,,,
2.943,2.0744,0.8546,1110.2,1.0,1.0,1.0,0.0,0.1644
,,,,,,,,
4.3872,1.4893,1.7629,1107.31,1.0,1.0,1.0,0.0,0.1966
,,,,,,,,
2.9086,2.0737,0.8807,1110.26,1.0,1.0,1.0,0.0,0.1638
,,,,,,,,
3.2236,2.0715,0.8855,1109.47,1.0,1.0,1.0,0.0,0.1726
,,,,,,,,
3.5149,1.7599,1.7537,1108.72,1.0,1.0,1.0,0.0,0.1809
